,debate,date,speech,name,party,sentiment,score
0,The Government's Plan for Brexit,7 December 2016,"The sad context for today’s debate is that far from coming back together as a country since the referendum, we are probably more divided than ever. The blame for that lies not with the public, but with the way in which Parliament and the Government have responded in the six months since. In the referendum, the public were issuing a sharp rebuke to the political class, which they feel does not listen to them and is not straight with them, but what has the Government’s response been? They have been saying that they want to keep the citizens of this country in the dark about their plans for Brexit so as not to give anything away to the other side—or, as the hon. Member for Reigate (Crispin Blunt) said, “the enemy”. That is simply unacceptable. In these anti-politics times, it is hard to imagine a more politically inept approach.",Andy Burnham,Labour,Tentative,0.690743
1,Brexit Negotiations,11 December 2017,"Frequently with this Prime Minister, we have found that when she says nothing has changed, everything has changed. In particular, this statement talks about residents of Northern Ireland being able to cross the border freely and there being no hard border. If she thinks that it is in the best interests of Northern Irish residents to continue to benefit from freedom of movement, why is she denying equal rights to my constituents?",Stella Creasy,Labour (Co-op),Joy,0.505028
2,Brexit: Withdrawal Agreement and Political Declaration,14 January 2019,"From the beginning, there have been errors. Initially, the previous Prime Minister and his Government made a serious error in calling the referendum without first fully informing the country about the pros and cons of remaining in or leaving the EU. To avoid the problems we now face, he should have ensured that a condition was in place for the referendum result; for example, a 60% threshold. Then, once the referendum process was under way, many leave campaigners misled the public with gross omissions or distortions of fact. Further, as we all know, once they had won, the main proponents of leave—who had promised the earth, including that we will take control of immigration and our borders, and put £350 million into the NHS every week—did not take their promises forward. Perhaps the biggest error was not to have formed a cross-party consensus for the kind of withdrawal agreement and future relationship that Parliament could support before sending our negotiators to Brussels.",Lord Loomba,Crossbench,Sadness,0.722203
3,Brexit: Withdrawal Agreement and Political Declaration,14 January 2019,"My Lords, I have listened to many of the speakers during the course of this debate, both in December and last week, and what appears to stand out most clearly is that we are facing an unprecedented challenge. The Cabinet has been divided, Parliament is divided and the people are divided. Despite all the efforts made by our Prime Minister—for whom I have some sympathy, as she was given an impossible task—she has not been able to achieve a withdrawal agreement which has, on the face of it, enough support to get it through this Parliament. This leads me to ask: why are we in this situation?",Lord Loomba,Crossbench,Sadness,0.644092
4,Brexit: Withdrawal Agreement and Political Declaration,14 January 2019,"The Prime Minister’s deal may not be perfect but, given where we are at this point, I think we should accept it and deliver certainty and clarity for citizens, businesses, employers and employees. I echo what my noble and learned friend Lord Hope said—that the current deal is not the end of the story; it is only an agreement for the withdrawal and implementation ​period, not our final future agreement with the EU. That agreement will be dealt with in the two years after 29 March, but only if we have a withdrawal agreement in place on that date, which I sincerely hope will happen. I urge my colleagues to do the right thing for the country.",Lord Loomba,Crossbench,Tentative,0.688903
5,Brexit: Withdrawal Agreement and Political Declaration,14 January 2019,"We are now in a serious situation and our leaders must recognise that this is a national crisis. The economy is at risk, which means that people’s livelihoods are at risk. It is time for straightforward common sense to prevail. Members of Parliament must put aside any differences and not pursue their own political agendas. Instead, they must act in the national interest alone. Those saying that the Prime Minister’s deal is not a good deal have offered no better alternative and are being unfair to those doing their best to meet this challenge. As it stands at this juncture, with no time left to negotiate a new withdrawal agreement to replace the current one on offer, and with the reality that, as my noble and learned friend Lord Hope emphasised last week, on 29 March the EU treaties will cease to apply to the United Kingdom, the only realistic options are either to accept the Prime Minister’s deal or to quickly extend Article 50 to gain more time.",Lord Loomba,Crossbench,Sadness,0.619837
6,Brexit Negotiations,11 December 2017,"I join my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke) in congratulating my right hon. Friend the Prime Minister on driving through an improved agreement on Friday, which many thought would not be feasible. She has been incredibly clear in the past about the fact that the two-year period that follows our departure will be an implementation period. Is it still the Government’s position that that implementation phase will be used to implement all that has been agreed, and not, as some say, just to carry on with no change at all?",Mr Iain Duncan Smith,Conservative,Confident,0.718218
7,The Government's Plan for Brexit,7 December 2016,"I listened very carefully to the hon. and learned Member for Holborn and St Pancras as he spoke for the Opposition, and I understand deeply the problem the Opposition have right now. The Conservatives were in opposition for a number of years and we were often divided. I was a Leader of the Opposition and I remember it very well. Leading the Opposition is like herding cats and there are a lot of cats sitting on the Benches behind him. They are divided about what they want. They are exposed in a simple position of not really wanting to leave, but recognising that 70% of them now sit in constituencies that voted overwhelmingly to leave. They are focusing on the fact that they run the risk, politically, of being in danger when the next election in called.",Mr Iain Duncan Smith,Conservative,Fear,0.589738
8,The Government's Plan for Brexit,7 December 2016,"I make no bones about the fact that I voted and campaigned for the UK to leave the European Union. I believe that it is necessary for us to understand what we mean by that—to define it, and then to act on that, as some of my colleagues have already said. Leaving the European Union at its most basic will mean that we will no longer be subject to European law. From that flow the other elements that were debated during the campaign. The public most clearly want to take back control of their borders with the European Union and to take back control of the money raised from them in taxation. Those things cannot happen if we are subject to European law. This, then, is the key element: leaving the European Union means that we are no longer subject to the jurisprudence of European law. That is really quite important. The failure of the Opposition to accept that means that they are not really in favour of leaving, and have not even accepted that we are leaving; they are debating how we stay in with modifications.",Mr Iain Duncan Smith,Conservative,Sadness,0.61324
9,The Government's Plan for Brexit,7 December 2016,"I understand fully Labour Members’ need to somehow try to confuse the issue with this particular agreement in relation to the amendment. However, the Government amendment is very clear. It sets a date by which article 50 has to be invoked. By not voting against the amendment, the Labour party will be giving the Government a blank cheque to go forward and invoke article 50 without any real caveats. I am wholly in favour of that, I have to say, because I support the Government, but I did not think Labour Members were supporting the Government. I welcome them to that position, although some of my hon. Friends absolutely deplore them for doing so. I see ​from the shaking of heads that many on their own Benches deplore the weakness they seem to have shown, but I congratulate them—",Mr Iain Duncan Smith,Conservative,Sadness,0.587344
10,The Government's Plan for Brexit,7 December 2016,"I will, I hope, be brief. I support the Government’s amendment, and wish to make it clear that I believe that making great pace in getting ourselves through the process and into the negotiations is the key for whatever the Government do now.",Mr Iain Duncan Smith,Conservative,Tentative,0.689515
11,The Government's Plan for Brexit,7 December 2016,"May I give my right hon. Friend one good example of this? It relates to the import of oranges. Very recently, the customs union has slapped on a tariff increase from 3% to 16%, solely to protect some producers in Spain. That raises the cost of buying the products here in the United Kingdom, so food is now more expensive as a direct result of interventions in the customs union that Opposition Members want to be part of.",Mr Iain Duncan Smith,Conservative,Sadness,0.525356
12,The Government's Plan for Brexit,7 December 2016,"Most people, including the Opposition, fail to define what leaving the European Union actually means. They keep saying that they will not and do not want to frustrate the will of the British people and that that means they do not want to delay the triggering of article 50. But in the same breath—with respect to the ​hon. and learned Member for Holborn and St Pancras (Keir Starmer)—they go on to qualify what leaving actually means. When listening to him, the definition I heard was that he wants to be a member of everything that we are in as members of the EU now, with one or two small changes—so he does not actually want to leave. In that sense, the purpose behind what the Opposition are doing speaks more of their own problems than of the negotiations that the Government will embark on once we activate article 50. I will say more on that in a moment.",Mr Iain Duncan Smith,Conservative,Sadness,0.604319
13,The Government's Plan for Brexit,7 December 2016,"On that point, I have something interesting to say to the House. I discovered the other day that there are now no fewer than five elements of legislation—three Bills, I think, and two amendments to Bills—going through both the House of Representatives and the Senate that pave the way for a free trade agreement between the US and the United Kingdom. So much for the current President’s view that we will be at the back of the queue. It appears that the legislators in Congress see us wholly at the front of it. They know the reason why: we are the great free trading nation of the world. We believe in free trade, and that is the direction in which we want to take ourselves, and, I hope, many others. For us, the rest of the debate, once we get through that and understand its relevance, is about process.",Mr Iain Duncan Smith,Conservative,Tentative,0.55795
14,The Government's Plan for Brexit,7 December 2016,"On that principle, I remind the House that the Centre for Social Justice published a report about why people voted to leave, called “48:52”. That report made it very clear—even many remainers have said the same—that the public wanted control of migration and they wanted sovereignty returned. I was quite surprised by their using and agreeing with the word “sovereignty”. We are always being told in this House that no one out there cares about sovereignty and that it is an esoteric issue debated only here by obsessed politicians who cannot get away from the fact that no one talks about it out in the country. In fact, sovereignty was the key element that the people spoken to for the report all agreed that they wanted—to take back control, the phrase that we use endlessly when debating this matter.",Mr Iain Duncan Smith,Conservative,Confident,0.832689
15,The Government's Plan for Brexit,7 December 2016,"On the customs union, I come back to this simple point. Why would the United Kingdom want to stay in the customs union when one of the key elements behind making the important decision to leave the European Union was getting back the opportunity to make our own trade arrangements with other countries? I would rather we stayed in than stay in the customs union. It seems completely pointless to embroil ourselves in the customs union—to go through all the rigmarole, arguments, debates and rows, only to find that at the end of the day we do not have the jewel in the crown of our making free trade arrangements.",Mr Iain Duncan Smith,Conservative,Confident,0.559726
16,The Government's Plan for Brexit,7 December 2016,"The Maastricht treaty and internal negotiations on being in the EU are wholly different from leaving the EU. The strategy for those was about remaining in the EU—all the rest was detail for debate. Here we are debating something strategically quite different: we are departing from the European Union, including the European Court of Justice and various other elements. Too much detail on that will delay the whole process and make it impossible to reach the agreement that my right hon. Friend is talking about.",Mr Iain Duncan Smith,Conservative,Sadness,0.695211
17,Brexit and Foreign Affairs,26 June 2017,"While we are on the right hon. and learned Gentleman’s manifesto, will he clear up an important point? Directly after the general election, having fought on a manifesto that made it clear that the Labour party would take back control of the borders, his leader, the shadow Chancellor and the right hon. and learned Member for Camberwell and Peckham (Ms Harman) made it clear that Labour’s position was to take back control of our borders, and to leave the single market and the customs union. Subsequently, the right hon. and learned Gentleman has gone out and said that leaving the single market and the customs union are not absolutes and are on the table. Will he clear up what the Labour party’s position really is?",Mr Iain Duncan Smith,Conservative,Confident,0.828204
18,"Brexit, Science and Innovation",6 September 2018,"I welcome the right hon. Gentleman’s introductory remarks. Despite our views on Brexit, I am sure that we are on the same page. Does he agree that this country has led the world in many scientific discoveries for hundreds of years and that there has been close collaboration on such discoveries across Europe for hundreds of years? Scientific collaboration did not start on 1 January 1973 and will not end on 29 March next year. Can we agree on that?",Mr Philip Hollobone,Conservative,Confident,0.655978
19,Brexit Negotiations and No Deal Contingency Planning,4 September 2018,"If we leave the EU with no deal, do we get to keep our £39 billion?",Mr Philip Hollobone,Conservative,Sadness,0.707477
20,Brexit,7 June 2016,"The living wage is a very attractive economic policy, especially in eastern Europe. Given the extensive financial modelling that my hon. Friend has conducted, can he tell the House his official estimate of the number of unskilled migrants coming to this country from eastern Europe in the first five years after a vote to remain?",Mr Philip Hollobone,Conservative,Confident,0.559726
21,Brexit (Food and Drink Exports),29 March 2018,"Weetabix, the great British breakfast cereal made in Burton Latimer near Kettering, gets all its wheat from farmers within a 50-mile radius. It was a famous British brand even before we joined the EU, and it will remain a famous British brand after we leave the EU. Will not the prospects for exporting more Weetabix be enhanced once we leave?",Mr Philip Hollobone,Conservative,Joy,0.660975
22,Brexit: Single Market and Workers’ Rights,16 January 2017,"Given the reality of the global economy, surely the only effective way of protecting employees’ rights is through international agreements? To avoid international agreements is merely to undermine the sovereignty of this country.",Lord Stoneham of Droxford,Liberal Democrat,Confident,0.86436
23,Brexit: Withdrawal Agreement and Political Declaration,5 December 2018,"Going to Germany, what struck me most was that it is a prosperous country that also achieves a great deal of social security and comfort. Its shops still do not open on Sundays. If one works past 6 pm, one is seen as inefficient. No businesses are allowed to email their workers after 8 pm, yet it is a most productive, economically successful country. Last year, in preparing to visit the Bundestag with an all-party parliamentary group, I looked at the history of Germany’s political system from 1945 onwards. What struck me was the continuity—not only of leadership but of parties and different coalitions, and their ability to collaborate ​rather than always be in opposition. Collaboration and continuity are such important qualities, which I do not think we have been able to deliver in this country. I hope we can look to the best-performing nations and see whether we can learn from them and perhaps reform ourselves. That is one good thing that might come from the current crisis that we are experiencing.",The Earl of Listowel,Crossbench,Tentative,0.744272
24,Brexit: Withdrawal Agreement and Political Declaration,5 December 2018,"I recently visited Germany, which, of course, had the opposite experience. It was crushed and had to change. In fact, we played a large hand in rewriting its constitution of basic law. In all the pain that we are currently experiencing, I hope there may also be an opportunity for us to look at the processes, the system and the constitution that we have and think: are they fit for purpose in the 21st century, in the complex society we now live in?",The Earl of Listowel,Crossbench,Confident,0.803151
25,Brexit: Withdrawal Agreement and Political Declaration,5 December 2018,"I want to express my admiration for Theresa May. In the way that she sticks with her job, she reminds me of the mothers of my acquaintance who live in very difficult circumstances and still struggle to do their best for their children. I am generalising wildly, but generally women have to stick with their children while men can walk away. I know that many men are looking after children and women sometimes walk away, but one of the important differences between men and women is that generally women have to stick with the child whereas men can choose to walk away. I sense that Mrs May has stuck with the child while many of the men and women involved have walked away. I am heartened. She has challenged her party in the past, saying that it is perceived as the nasty party. She dared to talk at a party conference about the value of social housing. She put aside £2 billion for affordable housing and removed the cap on borrowing for local authorities so that they can borrow to build more social housing. I respect the way that she has pursued that agenda, even when she has had to carry forward Brexit.",The Earl of Listowel,Crossbench,Sadness,0.524772
26,Brexit: Withdrawal Agreement and Political Declaration,5 December 2018,"My father became politically engaged at the age of 17. Fairly early, he became a London county councillor, and he served in your Lordships’ House for many years. He was a very reliable father, and I think your Lordships found him a very reliable Member of this House. He had two pieces of life advice to give me, which also apply to politics and which he probably drew from politics. The first was: if you make a mistake, do not worry about it too much; just learn from it and do not repeat it. The second was: do not raise expectations in people and then disappoint them. In thinking about that mistake, my sense is that there is something rotten, if you like, in the state of our constitution and our polity. We are so proud—we are the mother of parliaments. We have been so successful as a nation, defending Europe against the tyrant Napoleon and the tyrant Hitler, that it may be hard for us to think that we need to change.",The Earl of Listowel,Crossbench,Tentative,0.729629
27,Brexit: Withdrawal Agreement and Political Declaration,5 December 2018,"My Lords, listening to today’s debate, I am reminded what a privilege it is to be a Member of your Lordships’ House. From time to time, struck by fear, I wonder what I can possibly contribute to such a debate. Then I say to myself that I have my own experience, which may be helpful to one or two of your Lordships.",The Earl of Listowel,Crossbench,Tentative,0.940913
28,Brexit: Withdrawal Agreement and Political Declaration,5 December 2018,"My noble friend Lord Wilson, speaking about the 17 year-olds he was interviewing for university, said how tested they were. Indeed, some time ago the Chief Inspector of Schools described our children as the most tested in the world. This points out a wider anxiety. Yes, we are a very polarised society—very rich and very poor. For such a wealthy country, there is a terrible disparity in wealth. But, more widely, we are a country that experiences deep insecurity. Many people work long hours for low pay, with job insecurity, and many have insecure housing.",The Earl of Listowel,Crossbench,Confident,0.78945
29,Brexit: Withdrawal Agreement and Political Declaration,5 December 2018,"The second thing my father said was: do not raise expectations in people that you cannot deliver. My heart jumps for joy in some senses to think that there might be another referendum—that this was all a bad dream and we can all go back to where we were a few years ago. But I think of my father’s advice and I wonder how those people who voted in the referendum for us to remove ourselves from the European Union, who have been led to believe that we have been working solidly towards that over the past two years, will react when they are told, “Sorry, we’re going to rerun it”, and, “We’re going in a different direction now”. I do not have any easy answer to that. If that is the way we go, we have a piece of work to do. Look at France at the moment—at Macron and the yellow vests. When he was elected, Le Monde commented that it was an interesting development and exciting to have Macron and La République En Marche!, but Marine Le Pen is waiting. If Macron falls flat on his face, she is well positioned to take over. In America, we see in Donald Trump a leader who has worked on those people who felt disenfranchised in the rust belt. In Italy, we see the Five Star Movement taking control. Noble Lords might say that it could never happen here, but there are nationalist parties and nationalists who might have influence and even control, so we cannot discount that. I am concerned about that.",The Earl of Listowel,Crossbench,Tentative,0.760511
30,Brexit: Withdrawal Agreement and Political Declaration,5 December 2018,"Whatever happens, I hope we can continue in that direction. As the most reverend Primate said, it should not be the poor who carry the burden of this impoverishment that is Brexit, but those with the broadest shoulders. The Liberal Democrats have often talked about a land tax. We should look at whether we can take some money from those who can afford it and roll back the welfare cuts on the poorest.​",The Earl of Listowel,Crossbench,Tentative,0.89728
